Country,Avatar,Name,Rating,Images,Is Anonymous,Review,Translation Review,Vote Count,Logistics,Sku Info,Date of Published
KR,https://ae01.alicdn.com/kf/A2a4c9980dd6941beaea5be8c297869e8H.jpg_220x220.jpg,q***r,5,"https://ae01.alicdn.com/kf/Ae6468bcd2aba46a59772f7bb88fe8464h.jpg,
https://ae01.alicdn.com/kf/A0ae322e9ecea4514bd5c5e0361d126c4A.jpg",FALSE,"버튼은 콱 누르면 플라잉디스크가 하늘로 날아올라요, 아들이 아주 재미있어합니다","Press the button and the flying disc will fly into the sky, my son is very funny.",0,AliExpress Selection Shipping for Korea,Color:Yellow Hippo ,15/10/2024
KR,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,B***y,4,"https://ae01.alicdn.com/kf/A117e790f9fc74fc8a5da5e0dabf85884P.jpg,
https://ae01.alicdn.com/kf/Ac586c300e611416285813dd7ed292468I.jpg",FALSE,"the toy is received in good condition, and all the parts are separated... kids will enjoy the assembly process and fun to play...","the toy is received in good condition, and all the parts are separated... kids will enjoy the assembly process and fun to play...",0,AliExpress Selection Shipping for Korea,Color:Green Elephant ,22/10/2024
US,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:Green Elephant ,10/12/2024
IL,,AliExpress Shopper,5,,TRUE,"As shown - nice game, but beware to put on the protective mask, my son got hit and cried...","As shown - nice game, but beware to put on the protective mask, my son got hit and cried...",0,Aliexpress Selection Standard,Color:Blue Hippo ,07/11/2024
KR,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,l***o,4,,FALSE,애들이 좋아해요,The kids like it.,0,AliExpress Selection Shipping for Korea,Color:Blue Hippo ,30/10/2024
BR,,S***a,4,,FALSE,Muito bom ,Very good,0,Aliexpress Selection Standard,Color:Pink Elephant ,15/10/2024
KR,,C***K,5,,FALSE,,,0,AliExpress Selection Shipping for Korea,Color:Blue Hippo ,05/10/2024
CL,https://ae01.alicdn.com/kf/UTB8LlftkHnJXKJkSahGq6xhzFXan.jpg_220x220.jpg,E***a,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Green Elephant ,28/11/2024
PL,https://ae01.alicdn.com/kf/UTB8m410XdnJXKJkSaiyq6AhwXXan.jpg_220x220.jpg,b***r,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Yellow Hippo ,17/11/2024
KR,,l***r,5,,FALSE,꼬맹이들 뿐만아니라 엄마아빠도 같이 너무너무 재밋게 즐겼네요~~ 생각보다 슝~~하고 잘날아가고 아이들이 승부욕 붙어서 택배 받자마자 몇번을 했는지 모르겠어요ㅋㅋㅋㅋㅋ너무 잘산거같아용,"Not only the little guys, but also my mom and dad enjoyed it so much fun. Go
I don't know how many times I did as soon as I got the courier because the kids were lust.",0,AliExpress Selection Shipping for Korea,Color:Green Elephant ,02/02/2025
PL,https://ae01.alicdn.com/kf/UTB8m410XdnJXKJkSaiyq6AhwXXan.jpg_220x220.jpg,b***r,5,https://ae01.alicdn.com/kf/A723d183b4acf4a67a3e0f984c38d89e8d.jpg,FALSE,super,super,0,Aliexpress Selection Standard,Color:Yellow Hippo ,12/11/2024
PT,https://ae01.alicdn.com/kf/A5b29cf47549049adafcddec7e90fd02eb.jpg_220x220.jpg,R***e,4,"https://ae01.alicdn.com/kf/Aab9165ddf76b4d4cbba897e04b9f97d6W.jpg,
https://ae01.alicdn.com/kf/Aa1a5306cc5124ecdbf773875bfb2aae4f.jpg",FALSE,good quality,good quality,0,Aliexpress Selection Standard,Color:Yellow Hippo ,10/12/2024
DE,,a***r,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Green Elephant ,18/02/2025
KR,,AliExpress Shopper,5,,TRUE,,,0,AliExpress Selection Shipping for Korea,Color:Green Elephant ,31/01/2025
NL,https://ae01.alicdn.com/kf/Ua00fbc27735b45bc93d6a97634bc7e76x.jpg_220x220.jpg,M***n,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:Yellow Hippo ,11/03/2025
