Country,Avatar,Name,Rating,Images,Is Anonymous,Review,Translation Review,Vote Count,Logistics,Sku Info,Date of Published
UA,https://ae01.alicdn.com/kf/Uf4f8c7aa37e1441c9604a3cf30054ccaP.jpg_220x220.jpg,t***t,5,https://ae01.alicdn.com/kf/A80bd9dacc3f1413991b92349e8bb76b0F.jpg,FALSE,"дуже зручні і гарні замки від дітей, допомагають безпечно рости малюку, надіюся малий не швидко навчиться їх відмикати))","Puree and garni castles de ditey, add the heatlessness of the malyuku, you will not let me know how to let me vidmikati))",1,Aliexpress Selection Standard,Color:New Black 5PCS ,10/11/2024
UA,https://ae01.alicdn.com/kf/U13ad5674ae2048e59b39b8078f1c332f2.jpg_220x220.jpg,k***r,5,"https://ae01.alicdn.com/kf/A691d678b10454b3980205e28d1bb20f16.jpg,
https://ae01.alicdn.com/kf/A876e31d5042b438786c2748bc3c31890l.jpg",FALSE,"Дуже акуратно виглядають, лекго відкривати нажимаючи на кнопку, міцно кріпляться, можу рекомендувати! Швидка доставка","It is more accurate to wiglyadayu, to press the button on the button, to cheat at, I can recommend it! Shvidka shipping",2,Aliexpress Selection Standard,Color:New White 5PCS ,16/10/2024
ES,,Y***0,5,https://ae01.alicdn.com/kf/A1d9801a7bcf141c2a460fabc58bcf7b9i.jpg,FALSE,Envío rápido y de calidad. Cierres muy buenos para cualquier aparato o mueble. en mi caso lo puse en una nevera y genial.  Envío rapido,"Fast and quality shipping. Very good closures for any appliance or furniture. In my case I put it in a fridge and great.
Fast shipping",1,Aliexpress Selection Premium shipping,Color:3PCS ,04/11/2024
UA,https://ae01.alicdn.com/kf/UT80WFtX3RXXXagOFbXG.jpg_220x220.jpg,O***o,5,https://ae01.alicdn.com/kf/A70853cc7b5b44602b668e73553443affY.jpg,FALSE,"Отримав за два тижні Укрпоштою. На вигляд якість хороша, на скільки буде надійний побачимо.","Having passed for two tizhni by the service.
I'm good at the Whiglyad, I'm good at the Skilki I'll be good at me.",0,Aliexpress Selection Standard,Color:New White 5PCS ,19/10/2024
UA,https://ae01.alicdn.com/kf/UT8m6J6XVlaXXagOFbXM.jpg_220x220.jpg,v***v,5,"https://ae01.alicdn.com/kf/Aeeb5b0a29d3b42f1b12217a9910180b62.jpg,
https://ae01.alicdn.com/kf/Acef072b0306b4cfa8503bdc5af7d0517c.jpg,
https://ae01.alicdn.com/kf/A8f57c9193eb344f19f6370daa85c6c4dd.jpg",FALSE,"Виконує свою функцію! Для безпеки діток,ідеально!","Vicone your function! For the security of children, it is possible!",0,Aliexpress Selection Standard,Color:5PCS ,18/10/2024
US,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,y***l,5,https://ae01.alicdn.com/kf/Aee5a647ebb8b421f82fee3f5d22ddebfN.jpg,FALSE,"High quality, fast shipping. High quality, fast shipping. High quality, fast shipping. High quality, fast shipping.","High quality, fast shipping. High quality, fast shipping. High quality, fast shipping. High quality, fast shipping.",0,Aliexpress Selection Standard,Color:New White 5PCS ,16/02/2025
US,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,y***l,5,https://ae01.alicdn.com/kf/A904ec74475444fc6869ee60a16093925X.jpg,FALSE,Good product. Strong material. Fast shipping. Very recommended. Good product. Strong material. Fast shipping. Very recommended.,Good product. Strong material. Fast shipping. Very recommended. Good product. Strong material. Fast shipping. Very recommended.,0,Aliexpress Selection Standard,Color:New White 5PCS ,06/03/2025
US,https://ae01.alicdn.com/kf/A30eeeb4590ee4d23bb2798423c256b6c3.jpg_220x220.jpg,R***n,5,,FALSE,,,0,Aliexpress Selection Standard,Color:5PCS ,19/01/2025
US,,W***y,5,,FALSE,,,0,Aliexpress Selection Standard,Color:5PCS ,21/03/2025
US,https://ae01.alicdn.com/kf/UT8.9qXX2VaXXagOFbX4.jpg_220x220.jpg,L***l,5,,FALSE,,,0,Aliexpress Selection Standard,Color:New Black 5PCS ,01/04/2025
US,,AliExpress Shopper,5,,TRUE,"you get what you pay, they feel cheap but they work as intended.. .I have a wide drawer and it feel like it's about to brake if pulled hard.","you get what you pay, they feel cheap but they work as intended..
.I have a wide drawer and it feel like it's about to brake if pulled hard.",0,Aliexpress Selection Standard,Color:New White 5PCS ,14/11/2024
EC,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,E***s,5,,FALSE,todo ok,Everything ok,0,Aliexpress Selection Standard,Color:New Black 5PCS ,04/11/2024
UA,https://ae01.alicdn.com/kf/Ab3bd2f9166a34a6abdd0e24e810bc381J.jpg_220x220.jpg,E***o,5,https://ae01.alicdn.com/kf/A5715b3eb0dd14414932d17ac3d677547C.jpg,FALSE,,,0,Aliexpress Selection Standard,Color:3PCS ,31/10/2024
ES,,AliExpress Shopper,5,,TRUE,Tal cual ; es exacto a la foto,As is; It is accurate to the photo,0,Aliexpress Selection Premium shipping,Color:1PC ,27/01/2025
ES,,AliExpress Shopper,5,"https://ae01.alicdn.com/kf/Ac6d7904fab5a4f45b16fa0b22ba71ca9G.jpg,
https://ae01.alicdn.com/kf/Af48ded41790c4b65b4ce6f13c430a1f1W.jpg",TRUE,vino muy bien embalado en el tiempo más menos estimado tiene muy buena pinta solo falta probar a ver qué tal.,"Wine very well packed in the least estimated time, it looks very good, just need to try to see how it is.",0,Aliexpress Selection Premium shipping,Color:5PCS ,12/01/2025
ES,,A***a,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:3PCS ,21/11/2024
PE,https://ae01.alicdn.com/kf/Uf91084ff4d504ec3a56b3b574d204afdD.jpg_220x220.jpg,E***z,5,,FALSE,muy buena calidad,Very good quality,0,Aliexpress Selection Standard,Color:5PCS ,25/01/2025
BR,https://ae01.alicdn.com/kf/UT8eAl7XR0XXXagOFbXi.jpg_220x220.jpg,R***s,5,,FALSE,perfeito!,Perfect!,0,Aliexpress Selection Standard,Color:1PC ,30/01/2025
ES,https://ae01.alicdn.com/kf/U3b9c8898c92b455f93f01b6f2544ba21U.jpg_220x220.jpg,S***n,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:3PCS ,17/01/2025
PT,https://ae01.alicdn.com/kf/Udbda3b9331ba408b9fff3323101fb74fV.jpg_220x220.jpg,A***a,5,,FALSE,,,0,Aliexpress Selection Standard,Color:3PCS ,15/01/2025
IL,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,I***r,5,,FALSE,,,0,Aliexpress Selection Standard,Color:New Black 5PCS ,10/02/2025
FI,https://ae01.alicdn.com/kf/A285fa77b6cc74c96937deb64ebdd09d83.jpg_220x220.jpg,A***v,5,,FALSE,"overall good, my 3 years old kid figured out how to open it, but the product is good,","overall good, my 3 years old kid figured out how to open it, but the product is good,",0,Aliexpress Selection Standard,Color:New White 5PCS ,17/01/2025
LV,,M***o,5,,FALSE,,,0,Aliexpress Selection Standard,Color:New White 4PCS ,13/03/2025
