Country,Avatar,Name,Rating,Images,Is Anonymous,Review,Translation Review,Vote Count,Logistics,Sku Info,Date of Published
ES,,AliExpress Shopper,5,https://ae01.alicdn.com/kf/A78ed2e0de5de4d22b25c0b48e9761590e.jpg,TRUE,"Me parece muy útil para comprar el calzado adecuado, y no genérico por meses de edad. Creo que la escala chn estándar, aunque parece talla china, creo que hace referencia a los meses de bebé.","I find it very useful to buy the right footwear, and not generic by months of age. I think the standard chn scale, although it looks like Chinese size, I think it refers to baby months.",2,Aliexpress Selection Premium shipping,Color:blue ,26/10/2024
ES,https://ae01.alicdn.com/kf/A9cde103c22a842609d183da4bc917936y.jpg_220x220.jpg,A***i,4,"https://ae01.alicdn.com/kf/Ad08394054000400ba488dcb2645200bdx.jpg,
https://ae01.alicdn.com/kf/Ad15c5a841b3e4979bdd89cbe12ddd8477.jpg,
https://ae01.alicdn.com/kf/A4c2471aabc1141499877777fc4f375ebW.jpg",FALSE,"Es muy pequeño, solo para pies pequeños o de niños.","It is very small, only for small feet or children.",1,Aliexpress Selection Premium shipping,Color:blue ,27/10/2024
ES,https://ae01.alicdn.com/kf/Ad40f0905ad9b47f683b8da64b268cbcbs.jpg_220x220.jpg,B***z,4,https://ae01.alicdn.com/kf/Ae141de2ff24744eb98e2803b721cbb664.jpg,FALSE,"😁👍🏻 muy contenta con mi pedido, llegó en buen estado, gracias","😁👍🏻Very happy with my order, arrived in good condition, thank you",0,Aliexpress Selection Premium shipping,Color:blue ,18/10/2024
US,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,R***v,5,"https://ae01.alicdn.com/kf/A8233b6c291094919b0f539d3deb872c2Z.jpg,
https://ae01.alicdn.com/kf/A48acadea55fa4afbad618b7706a1d4e87.jpg,
https://ae01.alicdn.com/kf/Abd013533b3a9474493b7ee9275278c245.jpg",FALSE,"Супер, тепер можна точно виміряти розмір дитині. ","Super, super can be exactly vimiryati rosmir children.",0,Aliexpress Selection Standard,Color:blue ,08/02/2025
US,https://ae01.alicdn.com/kf/A4c3c94fae55e4768b0f83b5ec85429d7u.jpg_220x220.jpg,F***z,5,,FALSE,,,0,Aliexpress Selection Standard,Color:blue ,15/12/2024
US,https://ae01.alicdn.com/kf/A1826eff8d3084f5482636a95773e32fbE.jpg_220x220.jpg,W***r,5,,FALSE,good,good,0,Aliexpress Selection Premium shipping,Color:blue ,26/01/2025
US,https://ae01.alicdn.com/kf/A9638425d366d4f3fae094221abdcfa3d6.jpg_220x220.jpg,홍***신,5,,FALSE,,,0,AliExpress Selection Shipping for Korea,Color:blue ,26/01/2025
US,,h***r,5,,FALSE,발크기재기 좋아요 저렴한가격에,It's good to have a good foot size.,0,AliExpress Selection Shipping for Korea,Color:blue ,28/11/2024
US,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,J***l,5,,FALSE,,,0,Aliexpress Selection Standard,Color:blue ,29/12/2024
US,https://ae01.alicdn.com/kf/UTB8nqhHkCnEXKJk43Ubq6zLppXad.jpg_220x220.jpg,M***h,5,,FALSE,The shipping was very fast. The product is as descripted. I am very satisfied with the order. The package was good.,The shipping was very fast. The product is as descripted. I am very satisfied with the order. The package was good.,0,Aliexpress Selection Standard,Color:blue ,23/11/2024
US,https://ae01.alicdn.com/kf/A6f1dfa8c0e5b40a1bb99c3ab94d721e7J.jpg_220x220.jpg,g***k,5,,FALSE,,,0,Aliexpress Selection Standard,Color:blue ,16/02/2025
US,,L***O,5,,FALSE,"Es un plástico para medir los cm del pié. Sale en cm y en una medida china tb.  Se dobla ligeramente, pero al apoyar el pié queda recto.","Is a plastic to measure the foot cm. Comes out in cm and in a Chinese measure tb.

It bends slightly, but when supporting the foot it is straight.",0,Aliexpress Selection Premium shipping,Color:blue ,04/02/2025
US,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,z***t,5,,FALSE,,,0,Aliexpress Selection Standard,Color:blue ,16/03/2025
US,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:blue ,25/03/2025
US,,K***a,5,,FALSE,,,0,Aliexpress Selection Standard,Color:blue ,04/11/2024
US,https://ae01.alicdn.com/kf/Aa58a0b58a33844e2b54c6e72b706c156v.jpg_220x220.jpg,Z***n,5,,FALSE,,,0,Aliexpress Selection Standard,Color:blue ,18/02/2025
US,,M***i,5,,FALSE,ok,Ok,0,Aliexpress Selection Standard,Color:blue ,08/04/2025
US,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Premium shipping,Color:blue ,25/10/2024
US,,H***s,5,,FALSE,,,0,Aliexpress Selection Standard,Color:green ,12/12/2024
US,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,A***e,5,,FALSE,,,0,Aliexpress Selection Standard,Color:blue ,10/04/2025
UA,,AliExpress Shopper,5,"https://ae01.alicdn.com/kf/A4516b370a13045959b44a1139154eabbB.jpg,
https://ae01.alicdn.com/kf/Aa30fb82038cf4d3aaa437f25524167cf0.jpg",TRUE,"Посилка прийшла швидко, все чудово. Зверніть увагу, що розміри йдуть до 30-го включно. Брала з монетками, вийшло взагалі задарма. оркостан - пухлина на планеті Земля. ","Shvidko came down, everything is fine. Animal uvagu, Sho rosmiri go up to the 30th inclusive. I took it with coins, went out for free. Orcothan-pukhlin on the planet Earth.",30,Aliexpress Selection Standard,Color:blue ,05/11/2024
US,,AliExpress Shopper,5,"https://ae01.alicdn.com/kf/A67c202956e4548e5af0a1b6948188057u.jpg,
https://ae01.alicdn.com/kf/A7c5d967b8bea46d19548de4ee422dc235.jpg",TRUE,Es como en las fotos. Puede ser muy útil.,It's like in the photos. It can be very helpful.,0,Aliexpress Selection Premium shipping,Color:blue ,27/02/2025
