Country,Avatar,Name,Rating,Images,Is Anonymous,Review,Translation Review,Vote Count,Logistics,Sku Info,Date of Published
ES,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Premium shipping,Color:Brown Kid Size:1 to 3 Year ,09/06/2025
DE,,t***r,5,https://ae01.alicdn.com/kf/A2ab897f0c38e40259d3c1b0370be99c6c.jpg,FALSE,sehr süß 👍,very sweet 👍,0,Aliexpress Selection Standard,Color:Pink Kid Size:1 to 3 Year ,03/09/2025
ES,,AliExpress Shopper,5,,TRUE,Me gustaron mucho...las recomiendo,I liked them a lot... I recommend them,0,Aliexpress Selection Premium shipping,Color:Pink Kid Size:1 to 3 Year ,09/06/2025
RU,https://ae01.alicdn.com/kf/U85973f2f5ad047d9b21da1558d1f139aV.jpg_220x220.jpg,Д***а,5,,FALSE,,,0,Cainiao Super Economy,Color:Coffee Size:1 to 3 year ,20/06/2025
UA,https://ae01.alicdn.com/kf/Uf8bbf27333a343c5a7b66d93254beaf3G.jpg_220x220.jpg,L***o,4,,FALSE,,,0,Cainiao Super Economy,Color:Coffee Size:0 to 1 year ,24/06/2025
RU,https://ae01.alicdn.com/kf/U85973f2f5ad047d9b21da1558d1f139aV.jpg_220x220.jpg,Д***а,5,,FALSE,,,0,Cainiao Super Economy,Color:Pink Size:1 to 3 year ,20/06/2025
RU,https://ae01.alicdn.com/kf/U85973f2f5ad047d9b21da1558d1f139aV.jpg_220x220.jpg,Д***а,5,,FALSE,,,0,Cainiao Super Economy,Color:Khaki Size:1 to 3 year ,29/06/2025
BG,,AliExpress Shopper,5,,TRUE,,,0,Cainiao Super Economy,Color:Coffee Size:1 to 3 year ,07/10/2025
NA,,AliExpress Shopper,5,,TRUE,,,0,Cainiao Super Economy Global,Color:Blue Size:1 to 3 year ,23/10/2025
PE,,AliExpress Shopper,5,,TRUE,,,0,Cainiao Super Economy Global,Color:Coffee Size:0 to 1 year ,20/08/2025
RE,,R***n,5,https://ae01.alicdn.com/kf/Ab11e54d744cd41d181a50830fb79f19ch.jpg,FALSE,,,0,AliExpress Standard Shipping,Color:GRAY Size:1 to 3 year ,06/11/2025
BG,https://ae01.alicdn.com/kf/Uee16ceea4a124c758bb87896d1ab1561f.jpg_220x220.jpg,P***a,4,,FALSE,,,0,Cainiao Super Economy Global,Color:GRAY Size:1 to 3 year ,21/07/2025
RE,,R***n,5,https://ae01.alicdn.com/kf/Ae997a632c6dc406ebcafbda5640c500ci.jpg,FALSE,,,0,AliExpress Standard Shipping,Color:Blue Size:1 to 3 year ,06/11/2025
RE,,R***n,5,https://ae01.alicdn.com/kf/A4aa66613541b471e9ddf85dc291f36b7a.jpg,FALSE,,,0,AliExpress Standard Shipping,Color:Coffee Size:1 to 3 year ,06/11/2025
UA,https://ae01.alicdn.com/kf/Udd6fdbc1083240a1b10da521702ad1f9q.jpg_220x220.jpg,A***p,5,,FALSE,,,0,Cainiao Super Economy,Color:Beige Size:0 to 1 year ,16/07/2025
RE,,R***n,5,https://ae01.alicdn.com/kf/A8cb967b736ae42a29d51b08d95703c57V.jpg,FALSE,,,0,AliExpress Standard Shipping,Color:Beige Size:1 to 3 year ,06/11/2025
UA,https://ae01.alicdn.com/kf/A6c29ff00bf4743008c17de2a99c685c0d.jpg_220x220.jpg,М***а,5,,FALSE,seredni,Seredni,0,Cainiao Super Economy,Color:Blue Size:1 to 3 year ,29/07/2025
UA,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,I***v,5,,FALSE,гарні,beautiful,0,Cainiao Super Economy,Color:Beige Size:0 to 1 year ,01/09/2025
PL,https://ae01.alicdn.com/kf/UTB871OEXTzIXKJkSafVq6yWgXXae.jpg_220x220.jpg,A***a,5,,FALSE,,,0,Cainiao Super Economy,Color:Coffee Size:1 to 3 year ,12/11/2025
RE,,AliExpress Shopper,5,https://ae01.alicdn.com/kf/A674a9386454e4714b35c913a03330f2ef.jpg,TRUE,👍🏼👍🏼,👍🏼 👍🏼,0,AliExpress Standard Shipping,Color:Pink Size:1 to 3 year ,07/10/2025
NL,,AliExpress Shopper,5,"https://ae01.alicdn.com/kf/A718c9036626d4d22948363e9d8707062Q.jpg,
https://ae01.alicdn.com/kf/Abd9c0f47d46349edaef3e812277751efE.jpg,
https://ae01.alicdn.com/kf/A09f2666759974c85b3bcc9b2a91a9c3er.jpg",TRUE,"замовляла на 1-3роки , малі на дитину 11місяців
погано тягнуться","ordered for 1-3 years, small for an 11-month-old child 
 pull poorly",0,Cainiao Super Economy,Color:Khaki Size:1 to 3 year ,23/10/2025
RE,,AliExpress Shopper,5,https://ae01.alicdn.com/kf/A124e36b6a5f0451fb2202d01b612d82cU.jpg,TRUE,👍🏼👍🏼,👍🏼 👍🏼,0,AliExpress Standard Shipping,Color:Khaki Size:1 to 3 year ,07/10/2025
UA,https://ae01.alicdn.com/kf/UTB84CGtcVfFXKJk43Otq6xIPFXa7.jpg_220x220.jpg,g***a,5,,FALSE,"Непогані чапики для малюка. Одні з небагатьох, які доня не здирає одразу.",Nice hats for the little one. One of the few that don't peel off immediately.,0,Cainiao Super Economy,Color:Beige Size:0 to 1 year ,08/07/2025
