Country,Avatar,Name,Rating,Images,Is Anonymous,Review,Translation Review,Vote Count,Logistics,Sku Info,Date of Published
US,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,20/05/2025
US,,R***t,5,,FALSE,,,0,AliExpress Standard Shipping,Color:BOA-VB801-EU Ships From:CHINA ,19/04/2025
US,,AliExpress Shopper,5,https://ae01.alicdn.com/kf/Aabc92acffe154c218d02dc9c6f00c69bT.jpg,TRUE,"משלוח מהיר, מצלמה מעולה! קלה לתפעול","Fast delivery, great camera! Easy to operate",0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,24/04/2025
US,,AliExpress Shopper,5,,TRUE,מוצר איכותי,quality product,0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,03/06/2025
US,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,Z***n,5,,FALSE,,,1,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,18/05/2025
GR,https://ae01.alicdn.com/kf/UTB8h0Bhk9bIXKJkSaefq6yasXXal.jpg_220x220.jpg,Σ***Σ,4,,FALSE,,,0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,01/05/2025
IL,https://ae01.alicdn.com/kf/S3559dfdcea6e48c6a635240e70c3ddeeL.jpg_220x220.jpg,s***g,4,,FALSE,"Big screen, the video not so good/sharp","Big screen, the video not so good/sharp",0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,26/08/2025
IL,,AliExpress Shopper,4,https://ae01.alicdn.com/kf/A6e0fb1b4aae244e1b5ea456dc417632bJ.jpg,TRUE,It’s good quality,It’s good quality,0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,18/04/2025
CL,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,28/08/2025
IL,https://ae01.alicdn.com/kf/UTB8CjQzwdoSdeJk43Owq6ya4XXaL.jpg_220x220.jpg,r***n,5,,FALSE,,,0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,25/05/2025
IL,,h***r,5,,FALSE,,,0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,08/05/2025
IL,https://ae01.alicdn.com/kf/UTB8QjEWC0oSdeJk43Owq6ya4XXam.jpg_220x220.jpg,M***m,5,,FALSE,,,0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,31/05/2025
IL,https://ae01.alicdn.com/kf/Sa1891c1b83b54ad7a5ad2f5d39cbd51ax.jpg_220x220.jpg,V***z,5,,FALSE,,,0,AliExpress Standard Shipping,Color:BOA-VB801-EU Ships From:CHINA ,14/08/2025
IL,,i***r,5,,FALSE,,,0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,25/07/2025
IL,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,N***n,5,,FALSE,,,0,AliExpress Standard Shipping,Color:BOA-VB801-EU Ships From:CHINA ,25/09/2025
IL,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,I***i,5,,FALSE,"מושלם מושלם מושלם
יותר טובה ממצלמות שנמכרות במחיר פי 3 בארץ","perfect perfect perfect 
 Better than cameras that are sold for 3 times the price in Israel",0,AliExpress Standard Shipping,Color:BOA-VB801-EU Ships From:CHINA ,01/05/2025
IL,https://ae01.alicdn.com/kf/A606dda3e1a794c26bf22c5ab33c8ce01c.jpg_220x220.jpg,j***n,5,https://ae01.alicdn.com/kf/Ae69be453fa644f86b006faa0a4a523aa8.jpg,FALSE,מושלם,perfect,0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,19/04/2025
IL,,AliExpress Shopper,5,,TRUE,מוניטור מעולה באיכות תצוגה טובה בחושך ונוח לשימוש ,Excellent monitor quality good display in the dark and easy to use,0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,28/05/2025
IL,https://ae01.alicdn.com/kf/A7e9f5c7c5c384b39bb4fa132d8ca28adx.jpg_220x220.jpg,g***r,5,,FALSE,,,0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,03/05/2025
IL,,I***r,5,,FALSE,,,0,AliExpress Standard Shipping,Color:BOA-VB801-US Ships From:CHINA ,11/09/2025
IL,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,Z***n,5,,FALSE,,,0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,01/09/2025
MA,https://ae01.alicdn.com/kf/Uf9841cf63bfe48819e666aa305cca083n.jpg_220x220.jpg,L***i,5,https://ae01.alicdn.com/kf/Ac144ca6c07b1469bb232dd785c42c3154.jpg,FALSE,super,Super,0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,04/09/2025
IL,,y***n,5,,FALSE,פריט מעולה במחיר מעולה ממש,Excellent item at an excellent price indeed.,0,Aliexpress Selection Standard,Color:BOA-VB801-EU Ships From:CHINA ,21/09/2025
