Country,Avatar,Name,Rating,Images,Is Anonymous,Review,Translation Review,Vote Count,Logistics,Sku Info,Date of Published
PT,https://ae01.alicdn.com/kf/A3c980da6753344b395ebc260a68908d62.jpg_220x220.jpg,s***o,5,,FALSE,,,0,Aliexpress Selection Standard,Color:1 Pcs ,06/11/2025
UA,https://ae01.alicdn.com/kf/U27c7ddd971ec41b0bd8eba05bf2834dad.jpg_220x220.jpg,S***a,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Upgraded 1 Set ,09/11/2025
IL,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:1 Pcs ,06/10/2025
DE,,s***r,5,,FALSE,Schnell geliefert. Abakus zur Beschäftigung in der Ergotherapie. Preiswert.,Delivered quickly. Abacus for employment in ergotherapy. Affordable.,0,Aliexpress Selection Standard,Color:1 Pcs ,02/08/2025
IL,https://ae01.alicdn.com/kf/Ua2f18838c8bf4cabaa6883d76f8a57faQ.jpg_220x220.jpg,V***v,5,,FALSE,,,0,Aliexpress Selection Standard,Color:1 Pcs ,11/08/2025
ES,https://ae01.alicdn.com/kf/A567473e60594493eaa141d3be92932dd0.jpg_220x220.jpg,A***e,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:1 Set ,21/10/2025
ES,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Premium shipping,Color:Upgraded 1 Set ,08/11/2025
CA,https://ae01.alicdn.com/kf/Ab8ef72dd85e14d4fa0967e43913d0629X.jpg_220x220.jpg,I***s,5,,FALSE,"It’s good except the cards that appeared to be in the photo or just like a little cardboards they’re not as like hard as they seem to be in the picture. They look kind of like thin wood, but they’re not.","It’s good except the cards that appeared to be in the photo or just like a little cardboards they’re not as like hard as they seem to be in the picture. They look kind of like thin wood, but they’re not.",0,Aliexpress Selection Standard,Color:1 Set ,22/10/2025
DE,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:1 Pcs ,07/10/2025
UK,https://ae01.alicdn.com/kf/A97b42d8cb77b49e09e27330faa55de54k.jpg_220x220.jpg,S***k,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:1 Set ,30/10/2025
HU,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,M***s,4,https://ae01.alicdn.com/kf/A87d973dbbfca467299b0f5c2d6663b4fe.jpg,FALSE,Thank you!,Thank you!,0,Aliexpress Selection Standard,Color:1 Pcs ,28/11/2025
IL,https://ae01.alicdn.com/kf/U7c13970a72a949b28eac32aba8a7f3be0.jpg_220x220.jpg,l***i,5,"https://ae01.alicdn.com/kf/A4083baf29434461b9762a3a192e13c290.jpg,
https://ae01.alicdn.com/kf/Ac769c544fe7d49eabe155275aebeed57V.jpg,
https://ae01.alicdn.com/kf/Aeedcab338e6d4f25adfb2e70766acc611.jpg",FALSE,,,0,Aliexpress Selection Standard,Color:Upgraded 1 Set ,20/11/2025
UA,https://ae01.alicdn.com/kf/A92aae4641f9f4ef88f23e48f9842c9436.jpg_220x220.jpg,N***a,5,https://ae01.alicdn.com/kf/Afc978c1cadac40cfa6e556eff047ee163.jpg,FALSE,как в описании,as described,0,Aliexpress Selection Standard,Color:1 Pcs ,11/07/2025
IL,,e***r,5,,FALSE,עושה את העבודה,doing the work,0,Aliexpress Selection Standard,Color:1 Pcs ,08/08/2025
IL,https://ae01.alicdn.com/kf/Uad0f270668814ae0acb1af358258d259X.jpg_220x220.jpg,d***v,5,"https://ae01.alicdn.com/kf/A3fb3ed4691e2409d884c0d3520183ef5n.jpg,
https://ae01.alicdn.com/kf/Ad077bc941cfc429086ce6cd9640bac5cB.jpg",FALSE,"пришло быстро, 2 недели.
очень маленькое свобрдное растояние. и вообще думала они будут больше","arrived quickly, 2 weeks. 
 very small margin of error. and I actually thought they would be bigger.",0,Aliexpress Selection Standard,Color:1 Pcs ,29/07/2025
CH,https://ae01.alicdn.com/kf/UTB8fSRgr_zIXKJkSafVq6yWgXXas.jpg_220x220.jpg,B***e,4,,FALSE,Much smaller than expected but fine to use,Much smaller than expected but fine to use,0,Aliexpress Selection Standard,Color:1 Pcs ,03/07/2025
