Country,Avatar,Name,Rating,Images,Is Anonymous,Review,Translation Review,Vote Count,Logistics,Sku Info,Date of Published
CA,,AliExpress Shopper,5,https://ae01.alicdn.com/kf/A9fb53006b5094a569f911cd7fc1b1fffO.jpg,TRUE,"As described, thanks!","As described, thanks!",0,Aliexpress Selection Standard,Color:Yellow Ships From:CHINA ,01/12/2024
US,,p***i,5,,FALSE,works good,works good,0,Aliexpress Selection Standard,Color:5 ,23/12/2024
IL,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,B***l,5,,FALSE,,,0,Aliexpress Selection Standard,Color:1 ,25/11/2024
UA,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,U***m,5,,FALSE,,,0,Aliexpress Selection Standard,Color:1 ,08/01/2025
PK,,AliExpress Shopper,5,,TRUE,MIC IS WEAK BUT OVERALL WORKING PERFECT,Mic is weak but overall working perfect,0,Aliexpress Selection Standard,Color:5 ,15/03/2025
UA,https://ae01.alicdn.com/kf/A583a20ff6c074a53927f2b5124a902b0z.jpg_220x220.jpg,V***k,5,,FALSE,,,0,Aliexpress Selection Standard,Color:5 ,20/11/2024
MX,https://ae01.alicdn.com/kf/Ud082b7dd64d548ec9fda7f2eea5e39cby.jpg_220x220.jpg,D***n,5,,FALSE,,,0,Aliexpress Selection Standard,Color:1 ,27/12/2024
MX,https://ae01.alicdn.com/kf/Ue14de2b3cecf49cba1ad7a35f4cd09fbr.jpg_220x220.jpg,D***a,5,,FALSE,"muy padre, le encantó a mi hija, muy padre juguete porque cumple con todas las especificaciones, no como otro que me mandaron que decía recargable y cuando llego era de pilas, lo recomiendo ampliamente","Very cool, my daughter loved it, a very cool toy because it meets all the specifications, not like another that they sent me that said rechargeable and when I arrived it was battery, I highly recommend it",0,Aliexpress Selection Standard,Color:5 ,27/12/2024
CH,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:1 ,04/11/2024
MX,,a***r,5,,FALSE,,,0,Aliexpress Selection Standard,Color:1 ,30/12/2024
CL,,p***r,5,,FALSE,Excelente ,Excelente ,0,Aliexpress Selection Standard,Color:1 ,26/12/2024
UA,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:5 ,07/12/2024
CL,https://ae01.alicdn.com/kf/UT8LwgLXBxXXXagOFbXY.jpg_220x220.jpg,M***a,5,,FALSE,Hermoso,Hermoso,0,Aliexpress Selection Standard,Color:1 ,13/12/2024
CA,https://ae01.alicdn.com/kf/UTB8QqSuq9nEXKJk43Ubq6zLppXah.jpg_220x220.jpg,W***E,5,https://ae01.alicdn.com/kf/Add4734fd765a4b95aab5fb9e961e1af0y.jpg,FALSE,good quality design product fast shipping very satisfied.,good quality design product fast shipping very satisfied.,0,Aliexpress Selection Standard,Color:5 ,20/12/2024
