Country,Avatar,Name,Rating,Images,Is Anonymous,Review,Translation Review,Vote Count,Logistics,Sku Info,Date of Published
FR,https://ae01.alicdn.com/kf/UTB87hq9jwnJXKJkSaelq6xUzXXaB.jpg_220x220.jpg,F***m,5,,FALSE,très bien comme sur le descriptif,Very good as on the description,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,13/12/2024
BR,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,D***s,5,https://ae01.alicdn.com/kf/A4be53b11715043a6925a9e750f548fd9Y.jpg,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,17/12/2024
MX,,AliExpress Shopper,5,https://ae01.alicdn.com/kf/A1ed5f3230a63435da836e74bef81b2e95.jpg,TRUE,Muy bonito producto funcionó muy bien llegó en tiempo y forma a excepción que hubo un problema de entrega ,Very nice product worked very well arrived in time and form except there was a delivery problem,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,05/12/2024
MX,https://ae01.alicdn.com/kf/U80fdde4e2a9743b2bbf01bc7a4e8625bp.jpg_220x220.jpg,L***o,5,https://ae01.alicdn.com/kf/Ac20d985fee7c4b5f85dee6d44a8a57b8K.jpg,FALSE,tal cual la descripción me encantó 🙂,As is the description I loved🙂,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,25/11/2024
CL,https://ae01.alicdn.com/kf/U930a61d91af740b489d5281ccf3c75bev.jpg_220x220.jpg,C***a,5,,FALSE,excelente producto 👍,Excellent Product👍,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,28/12/2024
IL,,I***n,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,29/11/2024
PL,https://ae01.alicdn.com/kf/A789e768de1f84d5285fd0b8e1d84e3daJ.jpg_220x220.jpg,M***k,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,12/03/2025
IL,,AliExpress Shopper,5,"https://ae01.alicdn.com/kf/A22808792a7c041289b7847f8b56487b7Z.jpg,
https://ae01.alicdn.com/kf/A4e5dcfc571c94ff5af2ec4266b5322e9M.jpg,
https://ae01.alicdn.com/kf/Acb3ffa9fa06e4f8da7f59ce0650b63b5H.jpg,
https://ae01.alicdn.com/kf/Aad39e83c701e4b2b99afaac8c776f20ba.jpg",TRUE,יראה טוב עדיין לא ניסיתי,Look good yet I haven't tried,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,03/12/2024
MX,https://ae01.alicdn.com/kf/UT8R7hLXNtXXXagOFbX4.jpg_220x220.jpg,A***a,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,01/03/2025
CO,https://ae01.alicdn.com/kf/U81b31e118a4148a49043103b53cc3fd2B.jpg_220x220.jpg,A***s,5,"https://ae01.alicdn.com/kf/A189dd7e3b54840bc88c971d3af5a6776s.jpg,
https://ae01.alicdn.com/kf/Ac02665ebf1cf458fa0d1e5ff896f2bd3z.jpg",FALSE,"Aún no lo he usado porque debo comprar las baterías, pero se ve muy bonito.","Aún no lo he used to compare the batteries, but it was very good.",0,Aliexpress Selection Premium shipping,Color:Little Yellow Duck ,13/03/2025
IL,https://ae01.alicdn.com/kf/Ac96ce72944934ac98f505c74570e42f7f.jpg_220x220.jpg,a***r,5,,FALSE,"works great, super useful! we're very satisfied with this, makes bathing the baby much easier.","Works great, super useful! We're very satisfied with this, makes bathing the baby much easier.",0,Aliexpress Selection Standard,Color:Little Yellow Duck ,14/02/2025
PL,https://ae01.alicdn.com/kf/U731668e72b5e4ee69edc36a0c2f90bffe.jpg_220x220.jpg,N***n,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,01/04/2025
IL,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,08/12/2024
ES,,AliExpress Shopper,5,,TRUE,funciona perfectamente,Works perfectly,0,Aliexpress Selection Premium shipping,Color:Little Yellow Duck ,04/12/2024
DE,https://ae01.alicdn.com/kf/A6d3fae2826384b10876070629293532fX.jpg_220x220.jpg,E***s,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,19/11/2024
MX,https://ae01.alicdn.com/kf/UT8lEKaX.RXXXagOFbXz.jpg_220x220.jpg,C***o,5,"https://ae01.alicdn.com/kf/A243824b83d9041048c003699f61cee77b.jpg,
https://ae01.alicdn.com/kf/A0372a21702324a7187cba1a8051d3b56z.jpg,
https://ae01.alicdn.com/kf/A6f8d4d4fdf354487b0a71a5d1acf9b29K.jpg",FALSE,"llegaron en el tiempo asignando, caja maltratada pero producto se ve bien, no se ha usado pues son regalo.","They arrived in time assigning, battered box but product looks good, it has not been used because they are a gift.",0,Aliexpress Selection Standard,Color:Little Yellow Duck ,05/12/2024
PL,,AliExpress Shopper,5,,TRUE,świetna zabawka tyłki kiepska dostawa,Great ass toy bad delivery,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,21/01/2025
IL,https://ae01.alicdn.com/kf/UT8ZYPjXORXXXagOFbXJ.jpg_220x220.jpg,F***n,4,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,21/01/2025
UK,https://ae01.alicdn.com/kf/A017d047c707741b9a74708c7dac08a21p.jpg_220x220.jpg,M***v,5,,FALSE,Product as described and in good condition ,Product as described and in good condition,0,Aliexpress Selection Premium shipping,Color:Little Yellow Duck ,22/02/2025
IL,,r***r,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,06/01/2025
PL,https://ae01.alicdn.com/kf/Abbf0f38afde6418f8c648528d8c260bcN.jpg_220x220.jpg,P***i,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,14/02/2025
IL,https://ae01.alicdn.com/kf/S9e2953f8136a45ca880ae2d18f1b6148O.jpg_220x220.jpg,s***m,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,24/02/2025
IT,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,D***i,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,08/02/2025
LT,https://ae01.alicdn.com/kf/Ue4d3e4ebffab48c88330dd29664c279eh.jpg_220x220.jpg,K***S,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,21/02/2025
SA,https://ae01.alicdn.com/kf/UT8nYixXPxaXXagOFbXU.jpg_220x220.jpg,M***i,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,25/01/2025
BG,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,S***v,4,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,25/02/2025
PL,https://ae01.alicdn.com/kf/Af9264621595744dba35cabbd503afffeq.jpg_220x220.jpg,B***a,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,31/01/2025
IL,https://ae01.alicdn.com/kf/A8f19491423264f96b97b620e2c5ac474g.jpg_220x220.jpg,ה***ל,5,,FALSE,כמו בתמונה,as in the picture,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,01/03/2025
ES,https://ae01.alicdn.com/kf/UT8rBsEXv8aXXagOFbXr.jpg_220x220.jpg,S***a,4,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:Little Yellow Duck ,19/02/2025
IL,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,17/01/2025
LT,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,A***s,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,11/03/2025
JP,,B***d,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Little Yellow Duck ,03/03/2025
