Country,Avatar,Name,Rating,Images,Is Anonymous,Review,Translation Review,Vote Count,Logistics,Sku Info,Date of Published
FR,https://ae01.alicdn.com/kf/Aa6f9a9e7af2344dba7d4884816911a83X.jpg_220x220.jpg,h***a,5,,FALSE,"Très content, dommage qu’il chante que en anglais","Very happy, too bad he only sings in English.",0,Aliexpress Selection Standard,Color:A,15/12/2025
NL,https://ae01.alicdn.com/kf/UTB8KKkAl5DEXKJk43Oqq6Az3XXa6.jpg_220x220.jpg,m***g,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:A,17/11/2025
IL,https://ae01.alicdn.com/kf/UT84BhyXGVaXXagOFbXU.jpg_220x220.jpg,y***k,5,,FALSE,מצוין,excellent,1,Aliexpress Selection Standard,Color:A,03/12/2025
ES,https://ae01.alicdn.com/kf/UTB8EKdXxXfFXKJk43Otq6xIPFXaq.jpg_220x220.jpg,J***a,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:A,11/11/2025
LV,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:A,28/11/2025
FR,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:A,22/11/2025
FR,,AliExpress Shopper,5,,TRUE,très satisfait comme je voulais très content je le conseille autre acheteurs,"Very satisfied as I wanted, very happy, I recommend it to other buyers.",0,Aliexpress Selection Standard,Color:A,24/11/2025
IT,,P***l,4,,FALSE,,,0,Aliexpress Selection Standard,Color:A,21/11/2025
IL,https://ae01.alicdn.com/kf/UTB88oxSiv2JXKJkSanrq6y3lVXaM.jpg_220x220.jpg,I***r,45,,FALSE,,,0,Aliexpress Selection Standard,Color:A,14/12/2025
IL,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:A,14/12/2025
ES,https://ae01.alicdn.com/kf/UT8R8wYXKNaXXagOFbXT.jpg_220x220.jpg,D***p,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:A,16/12/2025
IL,,r***r,5,,FALSE,,,0,Aliexpress Selection Standard,Color:A,14/11/2025
FR,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:A,20/12/2025
FR,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:A,20/12/2025
ES,https://ae01.alicdn.com/kf/UT8jV_hX4FbXXagOFbXk.jpg_220x220.jpg,A***c,5,,FALSE,"muy bonito ,",very nice,0,Aliexpress Selection Premium shipping,Color:A,20/12/2025
ES,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,N***z,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:A,23/12/2025
ES,https://ae01.alicdn.com/kf/U23e4d1631e9c4bf5a3485800f92975b6i.jpg_220x220.jpg,S***o,5,,FALSE,Perfecto igual alas fotos,Perfect just like the photos,0,Aliexpress Selection Premium shipping,Color:A,22/12/2025
ES,,AliExpress Shopper,4,,TRUE,"es en inglés, y es lento hay veces que se para","It's in English, and it's slow; there are times it stops.",0,Aliexpress Selection Premium shipping,Color:A,23/12/2025
NZ,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,K***h,5,,FALSE,Exactly as advertised. My granddaughters loves it,Exactly as advertised. My granddaughters loves it,0,ePacket,Color:A,07/11/2025
