Country,Avatar,Name,Rating,Images,Is Anonymous,Review,Translation Review,Vote Count,Logistics,Sku Info,Date of Published
MX,https://ae01.alicdn.com/kf/U4270507d3db8458db19d22c9c914665ae.jpg_220x220.jpg,B***h,4,https://ae01.alicdn.com/kf/Aa148ee860dc848fa9d9f266ef2a4f746H.jpg,FALSE,I don't know exactly how it works but it arrived in good condition,I don't know exactly how it works but it arrived in good condition,0,Aliexpress Selection Standard,Color:No box ,08/11/2024
CL,https://ae01.alicdn.com/kf/A8331478d3a954be895aff7a6f981562dR.jpg_220x220.jpg,h***a,5,"https://ae01.alicdn.com/kf/Aa70565e7ca424a6ba4af24302dd878f5S.jpg,
https://ae01.alicdn.com/kf/A139f345de8e645e3ab77934ec6471024P.jpg,
https://ae01.alicdn.com/kf/Acc6f1ce92ba3467294548acddba723f5s.jpg,
https://ae01.alicdn.com/kf/A037fd4e317bf459aae55fdb2aa89822dB.jpg,
https://ae01.alicdn.com/kf/Ac0f8c27d95a04531b7dd47ab3d9cdcbc5.jpg",FALSE,Product arrives very protected. Falls into the palm of one hand. Excellent product. Equal to the characteristics indicated.,Product arrives very protected. Falls into the palm of one hand. Excellent product. Equal to the characteristics indicated.,0,Aliexpress Selection Standard,Color:No box ,05/06/2024
HU,https://ae01.alicdn.com/kf/A6dd12b99012d4ee28b8bdd54f8067eaft.jpg_220x220.jpg,B***r,5,"https://ae01.alicdn.com/kf/A4808cfb59713462ab8b269269550c21b3.jpg,
https://ae01.alicdn.com/kf/A7ab4f0b1ea6f4d1d84ff1d520dae0a6bq.jpg,
https://ae01.alicdn.com/kf/A23c4bc85f96c412884a64575cbfe58eab.jpg,
https://ae01.alicdn.com/kf/Ae4891919cf53492e93736a1560291cc3w.jpg,
https://ae01.alicdn.com/kf/A89f35b88d55d4157bbcd19aea86ead1ep.jpg",FALSE,"Secure bubble wrap, nice light. Good painting.
Gotta catch em all! :D","Secure bubble wrap, nice light. Good painting.
Gotta catch em all! :D",0,Aliexpress Selection Standard,Color:No box ,29/07/2024
MX,https://ae01.alicdn.com/kf/A3f78e497d18240f59505ce869ead33deV.jpg_220x220.jpg,G***o,5,"https://ae01.alicdn.com/kf/A98d607c9de2b4ed4a504bdf51a313cf8q.jpg,
https://ae01.alicdn.com/kf/Ae01807cadb154d6fa59eb1b2b18640c2X.jpg",FALSE,"The quality is very good its texture is very soft, and the size is just as I imagined, it is perfect","The quality is very good its texture is very soft, and the size is just as I imagined, it is perfect",0,Aliexpress Selection Standard,Color:No box ,31/10/2024
UK,,i***r,5,https://ae01.alicdn.com/kf/A3eed557507d7455d9db1854e197a99a32.jpg,FALSE,"Surprisingly nice quality! A nice little mood light, bright enough to look great in low light to darkness. ","Surprisingly nice quality! A nice little mood light, bright enough to look great in low light to darkness. ",0,Aliexpress Selection Premium shipping,Color:No box ,10/06/2024
KR,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,J***e,5,"https://ae01.alicdn.com/kf/Ac15c702e22c043cbb5819cdfcb22d8cfG.jpg,
https://ae01.alicdn.com/kf/A44792cac98e34870919b894e4a4832d6a.jpg",FALSE,"Oh Oh Oh.♡This is good.
I thought it was expensive, but it's so good
Oh, my God!!","Oh Oh Oh.♡This is good.
I thought it was expensive, but it's so good
Oh, my God!!",0,AliExpress Selection Shipping for Korea,Color:No box ,23/10/2024
ES,https://ae01.alicdn.com/kf/UTB8I8TZjD_IXKJkSalUq6yBzVXao.jpg_220x220.jpg,I***n,5,https://ae01.alicdn.com/kf/A37b1bfd38d5b420ebdf2ac207bc323d53.jpg,FALSE,"Very nice, but I couldn't test it because the batteries were very damaged.","Very nice, but I couldn't test it because the batteries were very damaged.",0,Aliexpress Selection Premium shipping,Color:With box ,25/10/2024
PE,https://ae01.alicdn.com/kf/U0db74b9153b44ff589a235b4d87536c3R.jpg_220x220.jpg,J***o,4,https://ae01.alicdn.com/kf/A0a861d4868e64bb2969073b11daa92690.jpg,FALSE,"It is small but in the end as an ornament it looks beautiful, the light lasts a few minutes on and you have to turn it on again","It is small but in the end as an ornament it looks beautiful, the light lasts a few minutes on and you have to turn it on again",0,Aliexpress Selection Standard,Color:No box ,28/05/2024
MX,https://ae01.alicdn.com/kf/Ubd30df67441842f68553d8a82bd6206cO.jpg_220x220.jpg,L***r,4,https://ae01.alicdn.com/kf/A15a33d948eb94b9c9c837bd4f09ad3a8D.jpg,FALSE,"I would have liked it to be bigger, but it's pretty and it works well.","I would have liked it to be bigger, but it's pretty and it works well.",0,Aliexpress Selection Standard,Color:No box ,21/05/2024
ES,https://ae01.alicdn.com/kf/UTB8_48HkwnJXKJkSaelq6xUzXXa6.jpg_220x220.jpg,A***s,5,"https://ae01.alicdn.com/kf/A474b9487e09d4389ad52620b994594327.jpg,
https://ae01.alicdn.com/kf/Aea259bf02f2646d3b6d0f68ea156e43f0.jpg,
https://ae01.alicdn.com/kf/A07e436a4f65c4aef905124bf3c8e5510j.jpg",FALSE,"Precious lamp, good quality. Same as in the image.","Precious lamp, good quality. Same as in the image.",0,Aliexpress Selection Premium shipping,Color:No box ,28/07/2024
