Country,Avatar,Name,Rating,Images,Is Anonymous,Review,Translation Review,Vote Count,Logistics,Sku Info,Date of Published
UA,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,T***a,5,https://ae01.alicdn.com/kf/Aec4cb4092d474766a85fe538da4fc87aE.jpg,FALSE,"Іграшка супер!!! Проста, зрозуміла для малюка, яскрава, великі зручні деталі. Дуже швидка доставка)))","Super!!! Simple, zrosumila for Malyuk, yaskrava, great details. Double shvidka delivery)))",0,Aliexpress Selection Standard,,14/11/2024
UA,https://ae01.alicdn.com/kf/U8a5283249b8347e3bc7a4812a402057bh.jpg_220x220.jpg,Z***l,5,"https://ae01.alicdn.com/kf/A462632d4962c48a19820745c6ae1e7d7G.jpg,
https://ae01.alicdn.com/kf/A2318e1fbac124fcba41ad9713dbdd378G.jpg,
https://ae01.alicdn.com/kf/A60e46376ddd144b58763c926a88ae95f1.jpg",FALSE,"Швидка доставка на Укрпошту, запаковано у картонну коробку яба  пошкоджена при транспортуванні. На стан іграшки не вплинуло.","Shvidka delivery for an order, a box of yaba is packed at a cardboard box for transport. It did not sink into the camp.",0,Aliexpress Selection Standard,,22/01/2025
TH,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:5 Wheels ,09/12/2024
UA,,AliExpress Shopper,5,"https://ae01.alicdn.com/kf/Af5138a33aba443ad94abe90423296a78g.jpg,
https://ae01.alicdn.com/kf/A7a5d714beb8c4808878f8a9f6efdef4b1.jpg",TRUE,"Упаковка була пошкоджена, але іграшка прийшла ціла, в хорошій якості, все супер, і дуже швидко","The package was damaged, but the toy arrived intact, in good quality, everything is great, and very fast",0,Aliexpress Selection Standard,Color:5 Wheels ,28/03/2025
AT,,E***F,5,,FALSE,,,0,Aliexpress Selection Standard,Color:5 Wheels ,04/12/2024
BR,https://ae01.alicdn.com/kf/Ua18f2e8a3d8542b99b1bdbb15f94811cf.jpg_220x220.jpg,a***a,5,"https://ae01.alicdn.com/kf/Afcd12d2a34764d1686f57c64f928f1396.jpg,
https://ae01.alicdn.com/kf/A2d887afc7f044dc5bc2dcbaf55eab5d1q.jpg,
https://ae01.alicdn.com/kf/Af40792e22aa94d9e8afb317f2eceebabP.jpg",FALSE,melhor brinquedo pra bebê . o meu adorou até o mais velho brinca também,Best Toy for baby. Mine adored even the oldest jokes too,0,Aliexpress Selection Standard,Color:5 Wheels ,30/10/2024
AU,,H***o,5,https://ae01.alicdn.com/kf/Aa64560c4871a4b0188396730b2b7cc5dC.jpg,FALSE,"Absolutely love this product, great size and visual. Much better than average ring set. The wheels spin as my baby insert the wheels.","Absolutely love this product, great size and visual. Much better than average ring set. The wheels spin as my baby insert the wheels.",0,Aliexpress Selection Standard,Color:5 Wheels ,06/11/2024
CL,https://ae01.alicdn.com/kf/Aaf2155a9beca4cfba2aabbab5f58bbc0m.jpg_220x220.jpg,A***e,5,https://ae01.alicdn.com/kf/A9e50e033e7e9418d8956a9519131b921w.jpg,FALSE,excelente envio rapido y tal cual muestra la imagen buenisima compra,Excellent fast shipping and as it shows the image Good Purchase,0,Aliexpress Selection Standard,Color:5 Wheels ,05/11/2024
US,,h***a,5,,FALSE,,,0,Aliexpress Selection Standard,Color:5 Wheels ,24/12/2024
US,https://ae01.alicdn.com/kf/A54c65122d34e4bfb952d85def7eb6919c.jpg_220x220.jpg,K***s,5,,FALSE,recommend,recommend,0,Aliexpress Selection Standard,Color:5 Wheels ,20/11/2024
