Country,Avatar,Name,Rating,Images,Is Anonymous,Review,Translation Review,Vote Count,Logistics,Sku Info,Date of Published
IE,https://ae01.alicdn.com/kf/Ad2f817a7ed50441fb37bf4400191128cd.jpg_220x220.jpg,R***y,100,,FALSE,very very Beautiful Dog...my friend has a real one..so i bought it for her Daughter...,very very Beautiful Dog...my friend has a real one..so i bought it for her Daughter...,0,Aliexpress Selection Standard,Color:Light brown Ships From:CHINA Height:35cm ,2024-12-03
IL,https://ae01.alicdn.com/kf/UTB8aWlZkmbIXKJkSaefq6yasXXaf.jpg_220x220.jpg,A***v,100,,FALSE,прикольная собачка,Cool Dog,0,Aliexpress Selection Standard,Color:White Ships From:CHINA Height:35cm ,2025-01-28
IT,,I***r,100,,FALSE,ottimo,ottimo,0,Aliexpress Selection Standard,Color:Dark brown Ships From:CHINA Height:35cm ,2025-02-12
ES,https://ae01.alicdn.com/kf/Ub1d83af0496a4ac7826af5632b5a73f7a.jpg_220x220.jpg,E***s,80,,FALSE,Tal cual en las fotos. recomendable.,As is in the photos. Recommended.,0,Aliexpress Selection Premium shipping,Color:Light brown Ships From:CHINA Height:35cm ,2024-12-04
IE,https://ae01.alicdn.com/kf/Ad2f817a7ed50441fb37bf4400191128cd.jpg_220x220.jpg,R***y,100,,FALSE,Fantastic Dog second time I ordered,Fantastic dog second time i ordered,0,Aliexpress Selection Standard,Color:Light brown Ships From:CHINA Height:35cm ,2025-03-08
EE,https://ae01.alicdn.com/kf/Ac2c38024f95f4121a69e2e907e92eb21A.jpg_220x220.jpg,K***a,100,,FALSE,,,0,Aliexpress Selection Standard,Color:Black Ships From:CHINA Height:35cm ,2024-12-20
ES,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,N***r,100,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:Light brown Ships From:CHINA Height:35cm ,2024-12-20
IT,https://ae01.alicdn.com/kf/A8526864c96964a9aa61f6f95e05a5068u.jpg_220x220.jpg,С***ч,20,,FALSE,,,0,Aliexpress Selection Standard,Color:Brown Ships From:CHINA Height:35cm ,2025-03-08
PL,,AliExpress Shopper,100,,TRUE,,,0,Aliexpress Selection Standard,Color:Brown Ships From:CHINA Height:35cm ,2025-01-04
IL,https://ae01.alicdn.com/kf/Uf1f4df7605eb47e1953f239342f7c576f.jpg_220x220.jpg,O***b,100,,FALSE,👍👍👍,👍 👍 👍,0,Aliexpress Selection Standard,Color:Dark brown Ships From:CHINA Height:35cm ,2025-03-14
TR,,AliExpress Shopper,20,,TRUE,I got grey colour instead of white,I got grey colour instead of white,0,AliExpress Standard Shipping,Color:Gray Ships From:CHINA Height:35cm ,2024-12-07
NZ,,AliExpress Shopper,100,,TRUE,,,0,Aliexpress Selection Standard,Color:Light brown Ships From:CHINA Height:35cm ,2025-03-21
ES,https://ae01.alicdn.com/kf/A0760c8cd4ff34481b64e4d00a49aaca5s.jpg_220x220.jpg,O***a,100,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:Brown Ships From:CHINA Height:55cm ,2025-03-12
KR,https://ae01.alicdn.com/kf/A4bd8026984b84362a0ed7798e5b0582bQ.jpg_220x220.jpg,j***r,80,,FALSE,좋아요. 고퀄리티 인형입니다.,It's good. This is a high quality doll.,0,AliExpress Selection Shipping for Korea,Color:White Ships From:CHINA Height:35cm ,2024-12-23
