Country,Avatar,Name,Rating,Images,Is Anonymous,Review,Translation Review,Vote Count,Logistics,Sku Info,Date of Published
AU,https://ae01.alicdn.com/kf/Ad3bec2879b644f8d8f1c7677259f27bbA.jpg_220x220.jpg,む***こ,5,,FALSE,"the product is awesome!!!! 
thank you so much!!!","the product is awesome!!!! my 
thank you so much!!!",0,AliExpress Standard Shipping,,21/12/2024
BR,https://ae01.alicdn.com/kf/A6f9957626058452686f4c48ba70ffd47z.jpg_220x220.jpg,S***o,5,"https://ae01.alicdn.com/kf/A7ce8dfb76a17435f99c49f6acb695d399.jpg,
https://ae01.alicdn.com/kf/Af0d7d96f41a14ccc889bd705859325a4z.jpg",FALSE,"Came with lid, really the food does not sprain, excellent purchase and super fast delivery.","Came with lid, really the food does not sprain, excellent purchase and super fast delivery.",0,Aliexpress Selection Standard,Color:green ,07/08/2024
BR,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,R***o,5,,FALSE,"Very interesting, the food does not go and the baby gets a long time distracted. I find it very practical also for having a lid.","Very interesting, the food does not go and the baby gets a long time distracted. I find it very practical also for having a lid.",0,Aliexpress Selection Standard,Color:green ,26/08/2024
MX,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,E***Z,5,,FALSE,Loved my baby!,Loved my baby!,0,Aliexpress Selection Standard,Color:green ,02/07/2024
MX,https://ae01.alicdn.com/kf/A718dda71a9874feb853553eac0087123p.jpg_220x220.jpg,B***C,4,,FALSE,"Good product, looks quality and good material","Good product, looks quality and good material",0,Aliexpress Selection Standard,Color:green ,08/08/2024
ME,https://ae01.alicdn.com/kf/UT836SMX5BaXXagOFbXe.jpg_220x220.jpg,T***c,5,,FALSE,,,0,Aliexpress Selection Standard,Color:green ,22/08/2024
PT,https://ae01.alicdn.com/kf/UTB888CqtiDEXKJk43Oqq6Az3XXaJ.jpg_220x220.jpg,P***s,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Lt green ,21/12/2024
HR,https://ae01.alicdn.com/kf/Udfe4399ff6a143eda69dc5e472d8bad0C.jpg_220x220.jpg,T***c,5,"https://ae01.alicdn.com/kf/A9123dca4d7aa49b2b945a9c9752ba576e.jpg,
https://ae01.alicdn.com/kf/A1d7d4038d7a64f2fb87b7216109141a3r.jpg,
https://ae01.alicdn.com/kf/A711d22488f734cd1a00d9cef329539917.jpg",FALSE,it's working but is very small bowl. I need too refill it often for my 14 month old baby. But baby like it,it's working but is very small bowl. I need too refill it often for my 14 month old baby. But baby like it,0,Aliexpress Selection Standard,Color:Green ,03/10/2024
ES,,a***r,5,,FALSE,es bastante más grande de lo que parece pero está bien,It's a lot bigger than it looks but it's okay,0,Aliexpress Selection Premium shipping,Color:Grey Lion ,14/10/2024
FR,,AliExpress Shopper,5,,TRUE,réception très rapide je suis très satisfait de ce produit ma fille l'adore je vous remercie,Very fast reception I am very satisfied with product my girl love it thank you,0,Aliexpress Selection Standard,Color:Pink ,21/10/2024
LT,https://ae01.alicdn.com/kf/A8182550d55ea481f97c74835770c640ex.jpg_220x220.jpg,I***e,5,,FALSE,"Better use for solid food or snacks, as liquids can spill, but all in all it’s nice bowl","Better use for solid food or snacks, as liquids can spill, but all in all it’s nice bowl",0,Aliexpress Selection Standard,Color:Green ,11/10/2024
BR,https://ae01.alicdn.com/kf/U8a1049f54f284207965d5595f74cdf2a8.jpg_220x220.jpg,C***o,5,,FALSE,produto muito bom gostei superou as espectativas,Very good product liked exceeded expectations,0,Aliexpress Selection Standard,Color:Red ,18/10/2024
UK,,r***r,5,,FALSE,helpful,helpful,0,Aliexpress Selection Premium shipping,Color:Green ,18/10/2024
FR,,AliExpress Shopper,5,,TRUE,Parfait 👍 merci ,Perfect👍Thank you,0,Aliexpress Selection Standard,Color:Pink ,09/10/2024
DZ,https://ae01.alicdn.com/kf/A86119b1cda41479499209b660bf54a94G.jpg_220x220.jpg,M***z,5,,FALSE,جيدة جدا لكن وصلة مكسورة للاسف,,0,AliExpress Standard Shipping,Color:Blue ,10/10/2024
MX,https://ae01.alicdn.com/kf/A7cf37dee7e2a492ab4026b02eddb7ea2T.jpg_220x220.jpg,L***r,5,,FALSE,justo lo que se esperaba,Just what was expected,0,Aliexpress Selection Standard,Color:Light Green ,30/09/2024
NG,,AliExpress Shopper,4,,TRUE,I love it…my baby enjoys it,I love it…my baby enjoys it,0,Aliexpress Selection Standard,Color:Light Green ,29/10/2024
IL,,AliExpress Shopper,4,,TRUE,Цвет тусклый. Остальное норм.,The color is dull. The rest of the norms.,0,Aliexpress Selection Standard,Color:Light Green ,14/10/2024
IL,https://ae01.alicdn.com/kf/UT8J4WLXqlXXXagOFbX3.jpg_220x220.jpg,E***a,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Blue ,26/11/2024
UK,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,S***r,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:Light Green ,11/02/2025
IL,https://ae01.alicdn.com/kf/UT8Y0ujXZxaXXagOFbXe.jpg_220x220.jpg,y***n,5,,FALSE,Works just like shown in the pictures! Comes with a lid. Used in dishwasher and it kept its shape and color. Recommend it,Works just like shown in the pictures! Comes with a lid. Used in dishwasher and it kept its shape and color. Recommend it,0,Aliexpress Selection Standard,Color:Pink ,26/02/2025
ES,https://ae01.alicdn.com/kf/UT8XCb9XCpXXXagOFbXV.jpg_220x220.jpg,M***O,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:Purple Lion ,16/11/2024
IL,https://ae01.alicdn.com/kf/UT8J4WLXqlXXXagOFbX3.jpg_220x220.jpg,E***a,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Green ,26/11/2024
IL,https://ae01.alicdn.com/kf/S6caf821ce86a42dba74c846af363a8b9S.jpg_220x220.jpg,I***e,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Light Green ,06/03/2025
IL,,y***h,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Red ,26/11/2024
PL,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:Pink ,09/02/2025
FR,,2***r,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Blue ,04/01/2025
FR,https://ae01.alicdn.com/kf/Ub8898829ec03407fa962fd0944958727E.jpg_220x220.jpg,F***s,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Pink ,07/12/2024
US,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:blue ,20/11/2024
UY,https://ae01.alicdn.com/kf/U21c1ed0db5ee4a558fce852d6d8d3e81L.jpg_220x220.jpg,E***l,5,,FALSE,muy lindoo... y si bota alimentos,Very cute... And if food boots,0,Aliexpress Selection Standard,Color:light powder ,19/10/2024
RU,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,Д***ч,5,,FALSE,Работает!👍🙂,Works!👍🙂,0,Aliexpress Selection Standard,Color:purple ,01/10/2024
RU,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,Д***ч,5,,FALSE,Не переворачивается👍🙂,No flip👍🙂,0,Aliexpress Selection Standard,Color:green ,01/10/2024
SRB,https://ae01.alicdn.com/kf/UTB8kj6vgrnJXKJkSahGq6xhzFXa2.jpg_220x220.jpg,A***Z,5,,FALSE,,,0,Cainiao Super Economy,Color:light green ,28/02/2025
IL,https://ae01.alicdn.com/kf/UTB8niGDw8ahduJk43Jaq6zM8FXaE.jpg_220x220.jpg,a***i,5,,FALSE,,,0,Aliexpress Selection Standard,Color:blue ,21/11/2024
CL,https://ae01.alicdn.com/kf/A1bd53d1605fe4cb5a93417619030d5b6c.jpg_220x220.jpg,R***n,5,,FALSE,,,0,Aliexpress Selection Standard,Color:purple ,24/10/2024
LK,https://ae01.alicdn.com/kf/Aedca64bb7b184929911122b40fb8d215G.jpg_220x220.jpg,h***a,5,,FALSE,good,good,0,Aliexpress Selection Standard,Color:light powder ,11/01/2025
MV,https://ae01.alicdn.com/kf/UT8yuYzXV0cXXagOFbX9.jpg_220x220.jpg,A***g,5,,FALSE,,,0,Cainiao Super Economy Global,Color:light green ,17/01/2025
KR,https://ae01.alicdn.com/kf/A4bbb018faf0c4a4480c64cdfbfb12939g.jpg_220x220.jpg,r***r,5,,FALSE,아기주려고 샀어요 아직 사용 못하는 나이라 미리 사뒀습니다,I bought it to give you a baby. I bought it in advance because I can't use it yet.,0,AliExpress Selection Shipping for Korea,Color:light green ,02/12/2024
UA,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:blue ,30/11/2024
IL,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,r***s,5,,FALSE,,,0,Aliexpress Selection Standard,Color:purple ,11/03/2025
IL,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:green ,08/12/2024
LK,,AliExpress Shopper,5,,TRUE,,,0,Aliexpress Selection Standard,Color:light powder ,03/11/2024
AZ,https://ae01.alicdn.com/kf/UTB8uaQ4nyaMiuJk43PTq6ySmXXas.jpg_220x220.jpg,A***I,5,,FALSE,,,0,Cainiao Super Economy Global,Color:green ,11/01/2025
RU,,Д***н,3,,FALSE,Ломается на раз-два,One-two breaks,0,Aliexpress Selection Standard,Color:purple ,18/12/2024
FR,https://ae01.alicdn.com/kf/UT8rpKGXtJXXXagOFbX0.jpg_220x220.jpg,A***l,5,,FALSE,,,0,Aliexpress Selection Standard,Color:blue ,09/10/2024
LV,https://ae01.alicdn.com/kf/UT8xBKOXARXXXagOFbXB.jpg_220x220.jpg,I***s,5,,FALSE,,,0,Aliexpress Selection Standard,Color:light green ,27/10/2024
CL,https://ae01.alicdn.com/kf/A87359b7c86d5458c927ea0a59288ce16j.jpg_220x220.jpg,V***s,5,"https://ae01.alicdn.com/kf/Ae974b4fce05249cda345815ab08c7030h.jpg,
https://ae01.alicdn.com/kf/A376ba9afba4a4bd7bb04b1851743f8787.jpg,
https://ae01.alicdn.com/kf/A113da0252a124c228383d486e5180e28O.jpg,
https://ae01.alicdn.com/kf/A4a93dd2fdea7463f9fd9e547d2cd32bac.jpg",FALSE,Aún no lo pruebo pero se ve igual a la foto,"I haven't tried it yet, but it looks the same as the photo.",0,Aliexpress Selection Standard,Color:green ,11/03/2025
ME,,AliExpress Shopper,5,,TRUE,,,0,Cainiao Super Economy Global,Color:green ,06/10/2024
MV,https://ae01.alicdn.com/kf/Afe9940c653524ac48742e24da975713dQ.jpg_220x220.jpg,m***r,5,,FALSE,nice 👍,Nice 👍,0,Cainiao Super Economy Global,Color:light green ,20/03/2025
SRB,https://ae01.alicdn.com/kf/UTB8kj6vgrnJXKJkSahGq6xhzFXa2.jpg_220x220.jpg,A***Z,5,,FALSE,,,0,Cainiao Super Economy,Color:blue ,28/02/2025
MV,https://ae01.alicdn.com/kf/Aa01ef4ef9a5549d9a334bdab961ccb01j.jpg_220x220.jpg,s***s,5,,FALSE,,,0,Cainiao Super Economy Global,Color:purple ,29/09/2024
