Country,Avatar,Name,Rating,Images,Is Anonymous,Review,Translation Review,Vote Count,Logistics,Sku Info,Date of Published
UA,https://ae01.alicdn.com/kf/U12b8d55033f044acbe98fef908b7fe89v.jpg_220x220.jpg,A***i,5,"https://ae01.alicdn.com/kf/Ac0dba5f3690c41edb2ba8ace8fe06badi.jpg,
https://ae01.alicdn.com/kf/A1557dbb26f7a4f68bf47295b4ca93bbdK.jpg,
https://ae01.alicdn.com/kf/Aa6ab434521b24e4f96bbe7c45c7dc66bn.jpg,
https://ae01.alicdn.com/kf/A6245fd036612443d91734f1c3d87d4bfN.jpg",FALSE,"В Україну прибуло на 7 днів раніше заявленого )дуже приємний бодік на дотик )гарна тканина ,верх горловини контролюється кнопками)буду замовляти ще )дякую ☺️","In Ukraine, I have arrived for 7 days in the first place) I have a beautiful body for a dot-ik) Garna fabric, the top of the neck is controlled by buttons) I will wash up) my daughter☺️",0,Aliexpress Selection Standard,Color:beige Kid Size:86cm 18M ,01/11/2024
UA,https://ae01.alicdn.com/kf/Ad361125161344c2caf4580aefa3af066Q.jpg_220x220.jpg,U***t,5,,FALSE,"гарний бодік, ще не міряла.  запах дуже неприємний.","Garny bodyk, she did not.
The smell is overwhelming.",0,Aliexpress Selection Standard,Color:beige Kid Size:86cm 18M ,26/10/2024
UA,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,P***a,5,,FALSE,Супер ,Super,0,Aliexpress Selection Standard,Color:light green Kid Size:86cm 18M ,01/11/2024
IL,,AliExpress Shopper,5,,TRUE,מוצר טוב חבל על הזמן,Good product rope on time,0,Aliexpress Selection Standard,Color:beige Kid Size:86cm 18M ,31/01/2025
IL,https://ae01.alicdn.com/kf/A75ec84055c804e229640c0e493f64318c.jpg_220x220.jpg,I***d,5,,FALSE,,,0,Aliexpress Selection Standard,Color:beige Kid Size:86cm 18M ,27/12/2024
UA,https://ae01.alicdn.com/kf/UT8Os3wXq4aXXagOFbXy.jpg_220x220.jpg,A***o,5,,FALSE,"Хороший, можно брать, а рсн пдр)","Good, can be taken, and RSN PDR)",0,Aliexpress Selection Standard,Color:beige Kid Size:68m 6M ,08/12/2024
UA,,V***a,5,,FALSE,"Бавовняний бодік, гарна якість пошиття і тканини. Колір, розмір відповідають даним в обʼяві. На зріст 88см прийшовся розмір 18місяців, думаю до 92 см приблизно дитина буде носити","Bavovnyum bodyk, Garna and sling. Kolir, rozmir vidpovidayuyum danym in obʼyava. On the Sky 88 cm rozmir 18 minutes, I think up to 92 cm about the baby will be worn",0,Aliexpress Selection Standard,Color:yellow Kid Size:86cm 18M ,14/11/2024
UA,,AliExpress Shopper,4,,TRUE,"все чудово, задоволені, прийшло дуже швидко!!!!","Everything is fine, hideous, it came more than shvidko!!!!",0,Aliexpress Selection Standard,Color:yellow Kid Size:80cm 12M ,07/12/2024
ES,https://ae01.alicdn.com/kf/A397658220e5f4b2ca52bdf96e5c39436t.jpg_220x220.jpg,M***e,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:beige Kid Size:80cm 12M ,22/12/2024
ES,https://ae01.alicdn.com/kf/UTB8NSlRMtoSdeJk43Owq6ya4XXaP.jpg_220x220.jpg,N***s,5,,FALSE,envío antes de tiempo de talla perfecta para ahora tela de calidad muy cómoda,Shipping before time perfect size for now very comfortable quality fabric,0,Aliexpress Selection Premium shipping,Color:yellow Kid Size:80cm 12M ,16/11/2024
