Country,Avatar,Name,Rating,Images,Is Anonymous,Review,Translation Review,Vote Count,Logistics,Sku Info,Date of Published
ES,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,j***n,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:Blue ,18/12/2024
ES,https://ae01.alicdn.com/kf/UT8PWQYXTtXXXagOFbXx.jpg_220x220.jpg,B***z,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:Blue ,10/03/2025
CR,https://ae01.alicdn.com/kf/Uf69f8ed4a60344dab4310a446d7236546.jpg_220x220.jpg,D***o,5,https://ae01.alicdn.com/kf/A0ce2afc1bcb5448bb2f60b47f7c2b31aM.jpg,FALSE,,,0,AliExpress Standard Shipping,Color:Yellow ,20/12/2024
BR,https://ae01.alicdn.com/kf/Ae06f0049c1144f46b7e4527cd67fccc24.jpg_220x220.jpg,F***s,5,,FALSE,muito bom o aparelho. recomendo,The apparatus very good. I recommend,0,Aliexpress Selection Standard,Color:Blue ,27/12/2024
DO,,AliExpress Shopper,5,https://ae01.alicdn.com/kf/Aade8550423824e06936b77e64b289a4eQ.jpg,TRUE,Lo ame☺️,Lo ame☺️,0,Aliexpress Selection Standard,Color:Blue ,01/02/2025
MX,,AliExpress Shopper,5,"https://ae01.alicdn.com/kf/A03dad75520ec4f9e92f3757c3da12996x.jpg,
https://ae01.alicdn.com/kf/A39a32ebc95694eac8e5f5c310484d570v.jpg,
https://ae01.alicdn.com/kf/A7dc599ba165247f0917124a26fe864f5S.jpg,
https://ae01.alicdn.com/kf/A515d0d8b01f249c7aed8a471d9d7f3b3Z.jpg,
https://ae01.alicdn.com/kf/A8c4d4176f7534fee9f2f9a8c1ca18c0dY.jpg",TRUE,"Tal como lo describe el vendedor, material de plástico, resistente pero hay que evitar golpearlo. Las pilas vienen aisladas del contacto de agua.","As described by the seller, plastic material is resistant but it must be avoided to be damaged. The batteries come isolated from the water contact.",0,Aliexpress Selection Standard,Color:Yellow ,06/04/2025
CR,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,J***C,5,,FALSE,excelente,Excellent,0,AliExpress Standard Shipping,Color:Blue ,05/04/2025
ES,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,L***o,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:Blue ,18/03/2025
UA,,D***i,4,,FALSE,"Прикольна іграшка , але швидко висажує батерейки. ","A rough toy, but quickly throws off the batteries.",0,Aliexpress Selection Standard,Color:Submarine ,17/02/2025
PL,https://ae01.alicdn.com/kf/A7b63d903f62246e79af7ffc10319ea95X.jpg_220x220.jpg,g***r,5,,FALSE,super zabawka,great toy,0,Aliexpress Selection Standard,Color:Submarine ,28/02/2025
ES,https://ae01.alicdn.com/kf/U57d6cf3b72664d95957f1cc1ac99a67bL.jpg_220x220.jpg,T***z,5,,FALSE,,,0,Aliexpress Selection Premium shipping,Color:Submarine ,03/03/2025
UA,https://ae01.alicdn.com/kf/Ueb9b295013d34d2d962a3079ff2ca4d4d.jpg_220x220.jpg,s***v,3,,FALSE,,,0,Aliexpress Selection Standard,Color:Submarine ,12/03/2025
PL,https://ae01.alicdn.com/kf/U47c240f9b7b645039512f8bac4c1f4547.jpg_220x220.jpg,M***c,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Submarine ,08/02/2025
DE,https://ae01.alicdn.com/kf/Af454e6cca26b4c1ba1270aa764fe9a97X.jpg_220x220.jpg,A***n,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Submarine ,19/02/2025
IL,,D***n,5,,FALSE,,,0,Aliexpress Selection Standard,Color:Blue ,09/02/2025
FR,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,N***l,4,,FALSE,,,0,Aliexpress Selection Standard,Color:Blue ,05/02/2025
IL,https://ae01.alicdn.com/kf/S2f7c76f7fc4843588062ff7fbe30dd2cw.jpg_220x220.jpg,ב***ט,5,"https://ae01.alicdn.com/kf/A13eb727482584850b2f008b00346f9c4e.jpg,
https://ae01.alicdn.com/kf/A0775e247ba664a5f89f8238c250a3480F.jpg,
https://ae01.alicdn.com/kf/Acf1e5757a01a414f917a56d8650e3a10l.jpg",FALSE,"המוצר הגיע סדוק ומשופשף בכל מקום , השקית אריזה הייתה קרועה ","The product came cracked and rubbed everywhere, the packaging bag was torn",0,Aliexpress Selection Standard,Color:Blue ,27/11/2024
